name,gmap_id,descrption,category,facilities,text,amenidades
Motel 6,0x5499d820bdf89fed:0x9ec6d3e81bbac1d3,,['Hotel'],,,
Riverside Country Inn,0x89b87c9d2ecb14ad:0x648bbcd181ceb70a,,['Hotel'],,,
Hawthorn Suites by Wyndham Missoula,0x535dcf951bda15a3:0x23173f121eb5b146,,['Hotel'],,,
Hollywood,0x89e60e6029e295bb:0x4af49c12a0d96b0f,,['Hotel'],,,
Sunrise Pines Sanctuary,0x885a2153eb7c73bf:0xe17855623646cea6,,['Bed & breakfast' 'Hotel'],,,
Ka eo kai hotel,0x7c06e54d8bff41af:0x11617f6460bfff97,,['Hotel'],,,
Sand Castle Casa,0x88915b820a9ef1ef:0x4c132fd851ad5575,,['Hotel'],,,
"Barry""s Apt.",0x513245273532e73b:0x7ca6e88752aa6fa9,,['Hotel'],,,
Camp Pendleton Billeting,0x80dc6fbae21461e5:0x56e4a34c13f151f4,,['Hotel'],,,
Point Reyes Schoolhouse Lodging,0x8085c67e195a9a51:0x7371f938e8003a86,"Cozily converted schoolhouse, barn, cottage & covered wagon in gardens with a pond & a patio.",['Hotel' 'Cottage' 'Lodge'],,,
Kay Krause Starry Night Astronomy,0x87bbfecf364cd1d5:0x9db8b456962a7ee5,,['Hotel'],,,
Deer Acres,0x87ca54e82f3e3327:0x925a48a1cbf62175,,['Zoo' 'Resort hotel'],['Good for kids'],,resort
Golden Nugget,0x863b85806de0c16f:0xf35d9d08ce39c699,,['Hotel'],,,
Norway Hills Resort,0x52b79773df84705d:0xb90c633352862e82,"Casual, rustic resort offering relaxed cabins with full kitchens, plus a beach & boat docks.",['Resort hotel'],,,resort
Three-Nine Plaza Suites,0x87c0e54636affd6b:0x9fc742cccd87e905,,['Hotel'],,,
Mile-Hi Motel,0x872d28ddcd760759:0xe6f98322adbba47e,,['Motel' 'Hotel'],,"Was nicer then I expected it to be and the manager came outside and greeted me when I pulled up. I was visiting a friend who is staying there short term while inbetween places and not sure if it's a weekly or monthly rental rate. The parking lot is a bit cramped but the room included a kitchenette, living room, bedroom with two beds, closet and a bathroom.","parking lot, parking"
Sugar River Loft,0x88062b28cb53ef6d:0x94df72568fddf391,,['Hotel'],,,
Northcote Cottages,0x4d4d36991ce4b905:0x4462a79eb59a7966,,['Resort hotel' 'Gift shop'],,,resort
Ramada-Tonopah STA RV Park,0x80bc06ea5a6994f5:0x38d5db1763dbb487,,['Hotel' 'RV park'],,,
A1 Value Inn Hernando,0x88e8726c816a3057:0xe0d9d1765f555ca5,"Low-rise, no-frills motor lodge with a heated outdoor pool, plus free Wi-Fi & continental breakfast.",['Motel' 'Hotel' 'Inn'],,"It was demolished. Don't waste your time. February 5, 2021.",pool
The Luxury Log House,0x89dc53af65a602b5:0x10190ffe79346777,,['Hotel'],,,
The View Master,0x54c1eba0b2b416cf:0x9b2315da64178569,,['Hotel' 'Holiday apartment' 'Vacation home rental agency'],,,
The Hungate,0x54a26b9d35874699:0x273669723ff41366,,['Hotel'],,,
Good's Furniture Bed & Breakfast,0x880a0118188d47bf:0x61ffef7e28f403df,,['Hotel'],,,
MSI Lodging Systems,0x885d484f6d3b709f:0xd4192fa815c2b414,,['Hotel'],,Such a wonderful place.,
Inns of the Corps Mountain View,0x80dac7699b7c3bfd:0x3817b5269d796cd5,,['Hotel'],,,
Rushmore Campground,0x52b25227354b9aeb:0xd94ab8db568f7942,,['Resort hotel'],,,resort
Reynolds Lake Visitor Center,0x88f6f2d3d3ce9ba9:0xe44f779dd9041fa2,,['Golf course' 'Resort hotel'],['Wheelchair accessible entrance'],,resort
Travelodge Newport/Cincinnati Riverfront,0x8841b1696bd3a327:0x62649ac2f6d3838c,,['Motel' 'Hotel' 'Inn' 'Lodge'],,,
Econo Lodge Monterey Fairgrounds,0x808de453b2d0a755:0xa33bb70829e596eb,"Unassuming lodging with free continental breakfast & WiFi, plus a seasonal outdoor pool & hot tub.",['Hotel' 'Motel'],,"Awesome! We got a double bed room, it comes with great amenities. I would definitely stay here again. Front desk is nice and helpful :)","wifi, pool"
National Corporate Housing,0x864c21457abcb6d1:0x67eb463c44103965,,['Furnished apartment building' 'Extended stay hotel' 'Real estate agency'],['Wheelchair accessible entrance'],,
Doubletree Paradise valley,0x872b429779e684f9:0x94f3a131fef72fae,,['Hotel'],,,
Rodeway Inn At the Beach,0x89c0ee88047af38d:0xd5695bf69c36e6aa,Simple lodging offering functional rooms with complimentary Wi-Fi & on-site parking.,['Hotel' 'Lodge' 'Motel'],,,parking
Highlands House Bed & Breakfast,0x8893e25aae20de4f:0xea4565740c047f81,"Casual-chic rooms, some with gulf views, plus private beach access & a rustic restaurant/bar.",['Bed & breakfast' 'Bar' 'Hotel' 'Live music venue' 'Wedding venue'],,,restaurant
Harbor Inn Bayfront,0x86685fc529020413:0x34ee917b8da8d217,,['Hotel'],,"DEFINITELY not what I was expecting. For the rate of $150, for 1 night you better look elsewhere. thankfully it was just for 1 night. Staff were friendly, that I can say. Rooms were ok, but everything was completely outdated. No refrigerator, no microwaves. Pillows are horrible. Plumbing was the worst. Shower was dirty. The ice machine had mold under the push button. The lingering dead smell when you are in the elevator. If you are gonna spend that amount, please look elsewhere before making a reservation",
Keys Bungalows,0x88d0df50b8b4858d:0xd95dc51d5c0b3c21,,['Hotel'],,,
Pier 66 Lake Front Cottages & Boat Rentals,0x883293613ea6ba41:0xa0fad2618490e7ea,,['Resort hotel'],,Fantastic folks. Great place to stay. Highly recommended.,resort
"South Mountain Resort, Lincoln, NH",0x88176b7d4215e70b:0x33020f40dcec1623,,['Resort hotel'],,,resort
Leisure Resort & Campground,0x52b5cf591b5e564b:0x1dfffa864155e51d,"Rustic lakefront resort offering basic cabins with a/c & a campsite, plus a beach & boat rentals.",['Resort hotel'],,,resort
The Royal Chinook,0x54c1eb699a24ba55:0x47978bf3a4c68381,,['Hotel' 'Vacation home rental agency'],,,
Ramada Fredericksburg South,0x89b6c139ef1646d5:0xb84b2df3071280e1,,['Hotel' 'Lodging'],,,
Brooks House Suites,0x86499698e06b73a3:0xd95030b3fbf4c7d8,,['Hotel'],,,
Columbus Inn,0x873f21d8e150fd33:0xb1037641c6e4869b,,['Hotel'],,,
Marquis Resort Homes,0x80c8d7f4f3ee05f3:0xdfaaddb6aa98340d,,['Resort hotel'],,,resort
Mitchell Hotel,0x808f86e5b564bed9:0xedbcd284f90a72a5,,['Hotel'],,,
Fairbridge Inn and Suites,0x88f5500ab347805d:0xa9f73b9f5f8e1640,,['Hotel'],,,
Music City Loft,0x88646659a39273e3:0xad38eedac3bb8577,,['Vacation home rental agency' 'Hotel' 'Property management company'],,,
Holiday Inn Fitchburg - Waterpark,0x89e3e40a2a7d4311:0x56b54dc03b117440,,['Hotel' 'Convention center' 'Water park'],,,
5th Street Motel,0x535e9ebf2b02abe1:0x26d674a76337c634,,['Hotel supply store' 'Service establishment'],,,
Howard Johnson by Wyndham Willowbrook,0x8640cd30b20999db:0x24b3ed1b3fc43eea,,['Hotel'],,"Nice place. Comfy bed! Breakfast was alright, but I think good for a place this size. Nice people in the office. Parking lot was kind of crowded.","parking lot, parking"
Meadors Inns,0x87cbb5d49d602293:0x67fae72354848f00,,['Motel' 'Hotel'],,,
Blueberry Hill Cottage,0x87d2031d46159b63:0xc8abdbb7629f9bf9,,['Hostel' 'Cottage' 'Hotel' 'Lodge' 'Motel'],,,
Kiara's Rooms,0x89c2f720760a3b95:0xcc98298b78d187f9,,['Hotel'],,,
Pentagon Inn,0x89b7b720817978cb:0xd9dd2d455ef444eb,,['Hotel'],,,
West End Hotel,0x80c2ba29d31d39b3:0xdf1a635e9ad10bf7,,['Hotel'],,,
Pelican Hill,0x80db89906f85b56b:0x251e7de58d897330,,['Hotel'],,,
Buffalo River Motel,0x87ce7329fcd2f2e3:0xa56f7895054a3eeb,,['Motel' 'Hotel'],,,
Rodeway Inn,0x86da09bd6a280167:0x829c471a0843f26b,,['Hotel' 'Motel'],,,
Bass Cabin #1,0x89db68448b69b223:0xec663dec0ce68301,,['Hotel'],,,
Buena vista Farm,0x80eccf4dbf6a8843:0x3dcfd692300ca8e7,,['Hotel'],,,
Downtown Asheville Loft at 51 College Vacation Rental Condo,0x8859f357071975ed:0xd1e998c0f4dd4df,,['Hotel'],,,
My Grand Resorts,0x80c8c50f9b8952ad:0x518767bdf2966c3f,,['Resort hotel'],,,resort
Lenora's Santee Resort,0x88ff1ed45be4f053:0x169649fcde39c06d,,['Resort hotel'],,,resort
Blueview Golf Villas LLC,0x88d9bbdc99f08e09:0x55e36a935e20d388,,['Hotel'],,,
WhyHotel Baltimore Inner Harbor,0x89c8049c1d3e93cf:0x47ce8aef06449ee2,"Sleek quarters, some with balconies, in a laid-back apartment hotel offering a fitness center.","['Hotel' 'Furnished apartment building' 'Holiday apartment rental'
 'Homestay' 'Holiday apartment']",,,fitness
Best Western Lakefront Hotel - Closed,0x88033659884808e9:0x1a3994604a3f5cc5,"Straightforward option with free WiFi, breakfast & parking, plus an indoor pool & a hot tub.",['Hotel'],,,"wifi, pool, parking"
Vicksburg Battlefield Inn,0x8628e1e78d2a1cc9:0xe221d4295b351b88,,['Motel' 'Extended stay hotel' 'Hotel' 'Lodge'],,,
Studio Plus Raleigh - North,0x89ac58c39abaa581:0x13f9daed4483be6c,,['Hotel' 'Travel'],,,
Kings Island Resort And Conference Center,0x8840f7fb054383e1:0xc000c04af5bff671,"No-frills hotel with flexible meeting spaces, indoor & outdoor pools, sport courts & a lake.",['Hotel' 'Conference center' 'Resort hotel'],,,"pool, resort, spa"
Clen Oak Lodge,0x865af9ca80d52e61:0x543a00ff9cd3b63c,,['Hotel'],,,
Okolona Motel,0x888732f13fe8e53b:0x7027d165940b479d,,['Motel' 'Hotel'],,,
Froelich's Sayner Lodge on Plum Lake in Vilas County,0x4d55c58fffffffff:0x8b9b202e6075aa73,,['Resort hotel' 'Indoor lodging' 'Lodge'],,,resort
Econo Lodge Central,0x8823d5b0eeecc77d:0x818fd528d74f1c95,,['Hotel' 'Lodge' 'Motel'],,"The room was dirty, the wifi connection was crap, and the owners were some of the rudest people I have ever met in my life. Family would call the be transferred to the phone in our room, and the first thing they would say was, ""Wow, that lady was rude."" (The owner's wife)
The housekeeping lady smokes at the cart and the smoke comes into your room when she does her rounds. When we first got here it took 4 days to get a drain plug for the tub so that we could bathe our children. There were dead birds rotting on the patio for 3 days and we had to ask someone to come clean it up. And the owners came in to switch out mattresses while we were in our room, and they made us go stand in the parking lot. The new mattresses were rock hard like a damn granite slab and the sheets didn't fit properly. Trying to get some of the air let out of the mattress took 8 hours and I had to go back down and complain for someone to come because they didn't get controllers for the sleep number mattresses they installed and the sheets popped off every time we rolled over (but they fit, really).
The guy at the desk and the maintenance man were extremely nice and personable, but they were diamonds in the ROUGH. After putting up with all of this without much complaint, they waited til the last second to tell us that we couldn't stay another week because they were booked up and we had an hour to find another hotel in order to go to after our stay had to be extended. Trust me... NOT WORTH THE MONEY YOU SAVE. This place is trash.","wifi, parking lot, parking"
Bldg 89,0x89b08a451b6fabc7:0x296f7fccafeafdd4,,['Hotel'],,,
Country Hearth Inn & Suites Albany,0x88f27c4cb472dce5:0x20f90c642850f4bb,"Low-rise hotel with humble rooms & an outdoor pool, plus free continental breakfast & Wi-Fi.",['Hotel'],,,pool
Ghost Ranch Education & Retreat Center,0x8717f65894cff377:0x77668925077ce61a,,['Hotel'],,,
Posey Knob,0x88862b383e7bc5ad:0xd54bb179c4302c14,,['Resort hotel'],,,resort
City Valet Boston,0x89e3708f2bc19835:0x3972c75012b16cb5,,['Valet parking service' 'Caterer' 'Hotel' 'Parking lot' 'Restaurant'],,,"restaurant, parking lot, parking"
Holiday Motel,0x87ecd129afeb290f:0x3e3aae625809aa2b,"No-nonsense rooms & suites with cable TV, plus vending machines & complimentary ice.",['Motel' 'Hotel'],,,
The Rose Cottage in De Bruce,0x89dc97fd8935dd97:0x80860aef765fe4b4,,['Inn' 'Bar' 'Bed & breakfast' 'Hotel' 'Motel' 'Restaurant'],,,restaurant
Ramada Pensacola,0x8890be2b38fdb5b5:0x5111da6dda48e0ab,,['Hotel'],,,
Nugget,0x80993fa51fceeeb5:0x89cd48b3124a69c7,,['Capsule hotel'],,,
UAW Black Lake,0x4d3506e6ef967d3f:0x55de2f7feb564b,,['Hotel'],,,
Cut Above Cabins,0x8847ef970d08b1f3:0xdd9ab1899f5f22a7,,['Log cabins' 'Hotel'],,,
Lances Landing,0x89a45b17b79a4245:0xb4689983b0f85a9e,,['Resort hotel'],,,resort
Motel 6 Sioux City,0x878dffa6aee7d3d7:0x251ad04cdf4901a1,,['Motel' 'Hotel'],,,
Catalina Boathouse,0x80dd729e8d2a292f:0xee60c0dd4f2c9aa7,Down-to-earth rooms & suites with harbor views in a modest hotel with communal patios & BBQs.,['Hotel'],,,
Starlite Motel,0x89ab69b2a009b1af:0x200fcecc1e6c328c,,['Motel' 'Hotel'],,"On September 17th this motel collapsed from the flooding of the Little River after Hurricane Florence sat on NC and just pissed on us for 3 days and nights, plus scattered storms,. I had a kind of love for this place. It was the last classic motel in town, nothing fancy, just an affordable room. I've had fun in this motel, and dealt with the sad side of life in this motel. I used to go there now and then just to get away from everyone and the weather, watch some HBO and just be quiet. All the hotels in town now are modern, over priced and don't feel right being in this little town, But, we are turning into a blue sign on the highway, Gas Food Lodging, after all.",food
Star Hotel,0x809aa01973d8b303:0x274a9fb79d71bab4,,['Hotel'],,Its affordable to live here and we appreciate being able to pay weekly and our room was clean and we haven't seen any roaches yet. There is a little drama but if you keep to yourself here then no one bothers you. The managers do a great job here. The security cameras are a bit intrusive but i don't mind because Its a very effective.,
Westside Resort,0x5361e865bc2f1fb9:0x9f8be744808c1066,,['Resort hotel'],,,resort
the oak inn,0x87c5a07bf919961b:0xe69a1a2e3b3dab1,,"['Motel' 'Extended stay hotel' 'Hostel' 'Hotel'
 'Short term apartment rental agency']",,,
Redwood Motel,0x87909c44aaf99d8d:0x99ae518489efc521,,['Motel' 'Hotel'],,,
Daytona Beach Oceanside Inn,0x88e6d9341a9a1edd:0x128274d78488c1f8,,['Hotel'],,"If you miss the ocean, food, and entertainment like i do, its an AWESOME place to visit. The positive affect hurricane Florence had on the beach was the nice waves it produced. Had to watch the riptides though. Always love coming here!",food
Sand Quest Beach Home,0x87541200ecf5f10d:0x6bbaa81997035578,,"['Vacation home rental agency' 'Cabin rental agency' 'Hotel' 'Lodging'
 'Mountain cabin']",,,
Luxury Vacation Home luxevaca,0x80998dc4cb2a0337:0x342dd0913031ee86,,['Hotel'],,,
Panoramic View,0x885bfea0b171c933:0x23f44ca4752d51b9,,['Hotel'],,,
Acorn inn,0x548f8bbb4b688711:0xde643a9dbcf54e05,,['Hotel'],,,
Econo Lodge Inn & Suites,0x8826d2dc3d5bdfab:0x743992164001e3c9,,['Hotel' 'Motel'],,"The good:
It was quiet.
It was available.

The less than good:
It’s really run down.
Toilet seats falling off.
Wallpaper shredding off the room walls.
AC was suspect.
Outside doors didn’t lock.
Free breakfast was a cold bagel, just the bagel no condiments. No coffee.

Sadly this lodge is a one night only, in desperation, stay.",
Summer Bay Guest Services,0x88f54f7601c07713:0x69d170700906d493,,['Resort hotel'],,Nice rooms ans great beds,resort
Casa New,0x88e7c772d1425bfd:0x4985874b1a9f299b,,['Hotel'],,,
"Cabin ""Heaven's Peak""",0x885939aace656923:0xa61146c62cbae473,,['Hotel'],,,
Life is Better at the Lake House,0x87c9014e47795113:0x2bb185d0d5c4e18e,,['Resort hotel'],,,resort
Motel 6,0x86fbd75f8f1c99c3:0x66c4afa57e27adc2,,['Motel' 'Hotel'],,,
Lewis Clark Hotel,0x54a1cacbb9c99c9b:0x8481d4acc5f2da85,,['Hotel'],,A totally amazing venue! This historical building adds an ambiance to any event!,
Lazy K Lounge,0x89c89ce228f7909b:0xa02441a3e7e0fe89,,['Hotel'],,,
The Leaner Cabin,0x87f42bc18c45ae13:0x3593f627319a419c,,['Resort hotel'],,,resort
Quality Inn Parkway,0x885bff45a4d76a1b:0x35d5c12df68ce026,"Basic hotel with a pool & freebies such as continental breakfast, coffee in the lobby & WiFi.",['Hotel' 'Lodge'],,Stayed here for a couple of days. Staff was incredibly friendly. The rooms are spacious and the bathrooms are newly renovated.  I would recommend cleaning the carpet in the room. Shortly after giving my kids a bath my son who is crawling had black all over the tops of his feet. Other than that it was a very pleasant place to stay.,"wifi, pool, spa"
Phoenix Nest Guest Houses -Birmingham House,0x865a4fc6c0ca6f51:0x914e5b67e51ed2c7,,"['Guest house' 'Bed & breakfast' 'Cabin rental agency'
 'Extended stay hotel' 'Hotel' 'Lodge' 'Motel'
 'Vacation home rental agency']",,,
Woodhill Resort,0x4d55bbfbab9627bb:0x30db184a2a902eee,"Simple rustic resort offering basic cabins, plus free loaner rowboats, a sandy beach & a dock.",['Resort hotel'],,,resort
Sun Suites Interests,0x89b078b789c3b16f:0x8af671e9e9be93ba,,['Extended stay hotel'],,,
Driftwood Beach Cottage,0x89bf55f7bfdd6a97:0xd83f87e22c7c7116,,['Hotel'],,,
Three Rivers Studio,0x884e812f2175a1e3:0xe08ae768d45ce58b,,['Hotel'],,,
Americas Best Value Inn,0x8834d909cdfc5cc3:0x1ba4d69eb2a60a66,,['Motel' 'Hotel'],,,
River Myst RV,0x87ced4fde5cf803d:0x3d92305f26e2777b,,['RV park' 'Campground' 'Fishing camp' 'Resort hotel' 'River port'],,,resort
Sockeye Cabins,0x56e87737dc795dff:0xd2f72fec865dd5c,,['Hotel'],,,
Bay-Plaza Motel,0x888781968a39fd33:0x7304956de40dddfe,,['Motel' 'Hotel'],,,
Econo Lodge Inn & Suites,0x863ab4be9473b043:0xc47628563ff48782,"Basic budget hotel offering free WiFi, breakfast & airport transport, plus an outdoor pool.",['Hotel' 'Lodge' 'Motel'],,"Very nice people at help desk..Nice rooms,way better than most around here.Great beds.Even had a safe in our room.Great price too.Will be back here that's for sure.. Parking lot also feels safe at night.","wifi, pool, parking lot, parking"
Fox Manor,0x89c0ee66816695c3:0x7c3a07cdaf253759,,['Hotel'],,,
Slice of Heaven Houghton Lake Resort,0x88203286189ad593:0xb5a2ed8f91c7642c,,['Resort hotel' 'Cabin rental agency'],,,resort
Stone Gate Inn,0x880d91cbb0b0dfcb:0x29d06d53d5c0e050,,['Motel' 'Hotel' 'Indoor lodging' 'Pet friendly accommodation'],,,
Hampton Inn,0x89cf3fae8066010b:0x3f4bb9b193b628e8,,['Hotel'],,,
Spring Break Panama City Beach,0x88938c1622f26dc9:0x43ee907620427c33,,['Hotel'],,,
Thrifty Lodge Motel,0x80dcab6251c95191:0xb438eee95aae06a,,['Hotel'],,,
The Waypoint,0x889f07d3dd6ab427:0xcee6d8da5c32b779,,['Fishing camp' 'Hotel' 'Lodge' 'Motel'],,,
PERMANENTLY CLOSED - Crossland Memphis - Sycamore View,0x887f8323c8fe1e13:0xf5bec6c8bdd206ef,,['Hotel'],,"I am resending what I originally had typed,  because I noticed someone edited my post from the original review i submitted three weeks ago.
Here it is.  I've been a long term guest here for a year and a month,  and although the place has potential much needs improvement starting with management and staff.  First,  it must be understood that customer service and satisfaction is a requirement for any service and hospitality business,  for without that you have nothing.  So,  more sincere smiling faces and quality customer service and less rude behavior and attitude.  Second, be mindful and selective of the individuals and groups you rent or sell a room to.   There have been two deaths- one seemingly suicide and the other a double homicide,  within one month of  each other.  You can Google the information to the validity of what I say (two found dead at Crossland of Memphis as the article reads).  I don't believe in coincidences,  I believe in connections, so renting and selling rooms to individuals of questionable and colorful (shady) character just to make a profit and increase your numbers for corporate approval is dead wrong.  No pun intended.  Third,  treat your long term guests with the proper respect that is due. Anyone who is willing to put up with all that happens at your business while they are in a transitioning period despite the obvious failures,  have earned more respect than given. In summary,  do that which is needed to change your reputation and way of doing business so that you may improve your status and reputation as a one star and two star Hotel and Extended Stay Hotel to a four star and five star Hotel  Whether your company will heed the reviews and suggestions provided by honest and honorable guests and potential customers,  or ignore and dismiss them entirely your choice and decision.  I hope you will choose and decide the righteous,  fair,  and just one for the greater good.",
Driftwood Lodge,0x890068f84d269859:0xd2cb102ab3bf405d,"Basic rooms & suites with free Wi-Fi, plus 2 outdoor pools & an on-site Mexican restaurant.",['Hotel'],,,"restaurant, pool"
secluded lodge,0x8653220fbd5b7d1d:0x4c68c832c7be8d5,,['Hotel'],,,
Marriott Hotel,0x865321d6b74a771f:0xeaec0e25b3ecbf12,,['Hotel'],,,
The Oasis by Stellar Retreats,0x872b7756a88552ff:0xe6b6f28c6a24897a,,['Resort hotel'],,,resort
"St Francis, Taos, Nm",0x8717653d2e9eb7c7:0xe148dda2bca7de7c,,['Hotel'],,,
Howler Haus,0x865bc1d114ca2253:0xd9524eaaaeba56ab,,['Hotel'],,,
Red Roof Inn Austin South,0x8644b5948336fa87:0xb0cdb406b4e01776,,['Hotel'],,,
Building 69,0x88dd80812203577d:0x5f77db1e909b56e9,,['Hotel'],,"Very clean, modern and fully loaded with all of the items you need from day to day.",
